W E1 E1 E1
2464.73 9.90456 9.83609 9.77417
2468.88 9.90543 9.83718 9.77537
2473.03 9.90629 9.83828 9.77658
2477.18 9.90716 9.83937 9.7778
2481.33 9.90802 9.84047 9.77901
2485.48 9.90888 9.84157 9.78023
2489.63 9.90975 9.84267 9.78144
2493.78 9.91061 9.84377 9.78267
2497.93 9.91148 9.84488 9.78389
2502.07 9.91234 9.84598 9.78511
2506.22 9.91321 9.84709 9.78634
2510.37 9.91407 9.8482 9.78757
2514.52 9.91494 9.84931 9.78881
2518.67 9.9158 9.85042 9.79004
2522.82 9.91667 9.85153 9.79128
2526.97 9.91754 9.85264 9.79252
2531.12 9.9184 9.85376 9.79376
2535.27 9.91927 9.85488 9.795
2539.42 9.92014 9.85599 9.79625
2543.57 9.92101 9.85712 9.7975
2547.72 9.92189 9.85824 9.79875
2551.87 9.92276 9.85936 9.80001
2556.02 9.92363 9.86049 9.80126
2560.17 9.92451 9.86162 9.80252
2564.32 9.92538 9.86275 9.80378
2568.46 9.92626 9.86388 9.80505
2572.61 9.92714 9.86501 9.80631
2576.76 9.92802 9.86615 9.80758
2580.91 9.92891 9.86729 9.80885
2585.06 9.92979 9.86843 9.81012
2589.21 9.93068 9.86957 9.8114
2593.36 9.93156 9.87072 9.81267
2597.51 9.93245 9.87186 9.81395
2601.66 9.93335 9.87301 9.81523
2605.81 9.93424 9.87416 9.81652
2609.96 9.93514 9.87532 9.8178
2614.11 9.93603 9.87647 9.81909
2618.26 9.93693 9.87763 9.82038
2622.41 9.93783 9.87879 9.82168
2626.56 9.93874 9.87995 9.82297
2630.71 9.93965 9.88112 9.82427
2634.85 9.94055 9.88229 9.82557
2639 9.94147 9.88346 9.82687
2643.15 9.94238 9.88463 9.82818
2647.3 9.9433 9.8858 9.82948
2651.45 9.94421 9.88698 9.83079
2655.6 9.94514 9.88816 9.83211
2659.75 9.94606 9.88934 9.83342
2663.9 9.94699 9.89052 9.83473
2668.05 9.94791 9.89171 9.83605
2672.2 9.94885 9.8929 9.83737
2676.35 9.94978 9.89409 9.8387
2680.5 9.95072 9.89529 9.84002
2684.65 9.95166 9.89648 9.84135
2688.8 9.9526 9.89768 9.84268
2692.95 9.95355 9.89888 9.84401
2697.1 9.9545 9.90009 9.84534
2701.24 9.95545 9.90129 9.84668
2705.39 9.9564 9.9025 9.84802
2709.54 9.95736 9.90372 9.84936
2713.69 9.95832 9.90493 9.8507
2717.84 9.95929 9.90615 9.85204
2721.99 9.96026 9.90737 9.85339
2726.14 9.96123 9.90859 9.85474
2730.29 9.9622 9.90982 9.85609
2734.44 9.96318 9.91104 9.85745
2738.59 9.96416 9.91227 9.8588
2742.74 9.96514 9.91351 9.86016
2746.89 9.96613 9.91474 9.86152
2751.04 9.96712 9.91598 9.86288
2755.19 9.96811 9.91723 9.86425
2759.34 9.96911 9.91847 9.86562
2763.49 9.97011 9.91972 9.86699
2767.63 9.97112 9.92097 9.86836
2771.78 9.97212 9.92222 9.86973
2775.93 9.97314 9.92348 9.87111
2780.08 9.97415 9.92473 9.87249
2784.23 9.97517 9.92599 9.87387
2788.38 9.97619 9.92726 9.87525
2792.53 9.97722 9.92853 9.87663
2796.68 9.97825 9.9298 9.87802
2800.83 9.97928 9.93107 9.87941
2804.98 9.98032 9.93234 9.8808
2809.13 9.98136 9.93362 9.8822
2813.28 9.9824 9.9349 9.88359
2817.43 9.98345 9.93619 9.88499
2821.58 9.9845 9.93747 9.88639
2825.73 9.98555 9.93876 9.88779
2829.88 9.98661 9.94006 9.8892
2834.02 9.98768 9.94135 9.89061
2838.17 9.98874 9.94265 9.89202
2842.32 9.98981 9.94395 9.89343
2846.47 9.99089 9.94526 9.89484
2850.62 9.99197 9.94656 9.89626
2854.77 9.99305 9.94787 9.89768
2858.92 9.99414 9.94919 9.8991
2863.07 9.99523 9.9505 9.90052
2867.22 9.99632 9.95182 9.90195
2871.37 9.99742 9.95315 9.90337
2875.52 9.99852 9.95447 9.90481
2879.67 9.99963 9.9558 9.90624
2883.82 10.0007 9.95713 9.90767
2887.97 10.0019 9.95847 9.90911
2892.12 10.003 9.9598 9.91055
2896.27 10.0041 9.96115 9.91199
2900.41 10.0052 9.96249 9.91344
2904.56 10.0064 9.96384 9.91488
2908.71 10.0075 9.96519 9.91633
2912.86 10.0086 9.96654 9.91778
2917.01 10.0098 9.9679 9.91924
2921.16 10.0109 9.96926 9.92069
2925.31 10.0121 9.97062 9.92215
2929.46 10.0132 9.97198 9.92361
2933.61 10.0144 9.97335 9.92508
2937.76 10.0155 9.97473 9.92654
2941.91 10.0167 9.9761 9.92801
2946.06 10.0179 9.97748 9.92948
2950.21 10.0191 9.97886 9.93096
